merchant_id,merchant_name,cuisine_type,city
GF-00040,Resto GrabMantap 39,Beverages,Depok
GF-00041,Resto GrabMantap 40,Beverages,Bogor
GF-00042,Resto GrabMantap 41,Beverages,Tangerang
GF-00043,Resto GrabMantap 42,Snacks,Bogor
GF-00044,Resto GrabMantap 43,Fast Food,Bandung
GF-00045,Resto GrabMantap 44,Beverages,Bali
GF-00046,Resto GrabMantap 45,Fast Food,Makassar
GF-00047,Resto GrabMantap 46,Ayam Geprek,Tangerang
GF-00048,Resto GrabMantap 47,Beverages,Bandung
GF-00049,Resto GrabMantap 48,Ayam Geprek,Bandung
GF-00050,Resto GrabMantap 49,Beverages,Bali
GF-00051,Resto GrabMantap 50,Ayam Geprek,Bandung
GF-00052,Resto GrabMantap 51,Fast Food,Bandung
GF-00053,Resto GrabMantap 52,Fast Food,Jakarta
GF-00054,Resto GrabMantap 53,Fast Food,Jakarta
GF-00055,Resto GrabMantap 54,Fast Food,Makassar
GF-00056,Resto GrabMantap 55,Ayam Geprek,Bekasi
GF-00057,Resto GrabMantap 56,Fast Food,Makassar
GF-00058,Resto GrabMantap 57,Ayam Geprek,Bali
GF-00059,Resto GrabMantap 58,Martabak,Surabaya
GF-00060,Resto GrabMantap 59,Martabak,Jakarta
GF-00061,Resto GrabMantap 60,Ayam Geprek,Jakarta
GF-00062,Resto GrabMantap 61,Seafood,Bali
GF-00063,Resto GrabMantap 62,Beverages,Bandung
GF-00064,Resto GrabMantap 63,Snacks,Makassar
GF-00065,Resto GrabMantap 64,Snacks,Medan
GF-00066,Resto GrabMantap 65,Ayam Geprek,Makassar
GF-00067,Resto GrabMantap 66,Fast Food,Medan
GF-00068,Resto GrabMantap 67,Seafood,Bali
GF-00069,Resto GrabMantap 68,Beverages,Bali
GF-00070,Resto GrabMantap 69,Martabak,Bogor
GF-00071,Resto GrabMantap 70,Snacks,Bogor
GF-00072,Resto GrabMantap 71,Seafood,Jakarta
GF-00073,Resto GrabMantap 72,Fast Food,Bogor
GF-00074,Resto GrabMantap 73,Beverages,Bali
GF-00075,Resto GrabMantap 74,Beverages,Jakarta
GF-00076,Resto GrabMantap 75,Beverages,Bekasi
GF-00077,Resto GrabMantap 76,Ayam Geprek,Bali
GF-00078,Resto GrabMantap 77,Beverages,Makassar
GF-00079,Resto GrabMantap 78,Fast Food,Bandung
GF-00080,Resto GrabMantap 79,Ayam Geprek,Bandung
GF-00081,Resto GrabMantap 80,Snacks,Surabaya
GF-00082,Resto GrabMantap 81,Beverages,Bogor
GF-00083,Resto GrabMantap 82,Martabak,Medan
GF-00084,Resto GrabMantap 83,Seafood,Bali
GF-00085,Resto GrabMantap 84,Ayam Geprek,Jakarta
GF-00086,Resto GrabMantap 85,Ayam Geprek,Bali
GF-00087,Resto GrabMantap 86,Ayam Geprek,Bekasi
GF-00088,Resto GrabMantap 87,Beverages,Bekasi
GF-00089,Resto GrabMantap 88,Seafood,Tangerang
GF-00090,Resto GrabMantap 89,Snacks,Jakarta
GF-00091,Resto GrabMantap 90,Ayam Geprek,Surabaya
GF-00092,Resto GrabMantap 91,Ayam Geprek,Tangerang
GF-00093,Resto GrabMantap 92,Seafood,Jakarta
GF-00094,Resto GrabMantap 93,Snacks,Medan
GF-00095,Resto GrabMantap 94,Snacks,Depok
GF-00096,Resto GrabMantap 95,Snacks,Surabaya
GF-00097,Resto GrabMantap 96,Martabak,Medan
GF-00098,Resto GrabMantap 97,Fast Food,Medan
GF-00099,Resto GrabMantap 98,Fast Food,Bogor
GF-00100,Resto GrabMantap 99,Fast Food,Bogor
GF-00101,Resto GrabMantap 100,Martabak,Bandung
GF-00102,Resto GrabMantap 101,Ayam Geprek,Bali
GF-00103,Resto GrabMantap 102,Snacks,Surabaya
GF-00104,Resto GrabMantap 103,Snacks,Medan
GF-00105,Resto GrabMantap 104,Beverages,Jakarta
GF-00106,Resto GrabMantap 105,Ayam Geprek,Bali
GF-00107,Resto GrabMantap 106,Beverages,Makassar
GF-00108,Resto GrabMantap 107,Seafood,Bali
GF-00109,Resto GrabMantap 108,Beverages,Bekasi
GF-00110,Resto GrabMantap 109,Snacks,Bandung
GF-00111,Resto GrabMantap 110,Fast Food,Bekasi
GF-00112,Resto GrabMantap 111,Beverages,Tangerang
GF-00113,Resto GrabMantap 112,Martabak,Tangerang
GF-00114,Resto GrabMantap 113,Snacks,Bali
GF-00115,Resto GrabMantap 114,Martabak,Tangerang
GF-00116,Resto GrabMantap 115,Snacks,Tangerang
GF-00117,Resto GrabMantap 116,Snacks,Depok
GF-00118,Resto GrabMantap 117,Ayam Geprek,Makassar
GF-00119,Resto GrabMantap 118,Martabak,Bekasi
GF-00120,Resto GrabMantap 119,Fast Food,Medan
GF-00121,Resto GrabMantap 120,Beverages,Makassar
GF-00122,Resto GrabMantap 121,Snacks,Tangerang
GF-00123,Resto GrabMantap 122,Fast Food,Surabaya
GF-00124,Resto GrabMantap 123,Seafood,Medan
GF-00125,Resto GrabMantap 124,Snacks,Bekasi
GF-00126,Resto GrabMantap 125,Snacks,Depok
GF-00127,Resto GrabMantap 126,Ayam Geprek,Bekasi
GF-00128,Resto GrabMantap 127,Ayam Geprek,Surabaya
GF-00129,Resto GrabMantap 128,Beverages,Surabaya
GF-00130,Resto GrabMantap 129,Ayam Geprek,Medan
GF-00131,Resto GrabMantap 130,Seafood,Makassar
GF-00132,Resto GrabMantap 131,Fast Food,Bekasi
GF-00133,Resto GrabMantap 132,Ayam Geprek,Bandung
GF-00134,Resto GrabMantap 133,Snacks,Depok
GF-00135,Resto GrabMantap 134,Snacks,Bekasi
GF-00136,Resto GrabMantap 135,Martabak,Surabaya
GF-00137,Resto GrabMantap 136,Ayam Geprek,Bali
GF-00138,Resto GrabMantap 137,Seafood,Tangerang
GF-00139,Resto GrabMantap 138,Fast Food,Tangerang
GF-00140,Resto GrabMantap 139,Fast Food,Bogor
GF-00141,Resto GrabMantap 140,Snacks,Bandung
GF-00142,Resto GrabMantap 141,Seafood,Bali
GF-00143,Resto GrabMantap 142,Martabak,Jakarta
GF-00144,Resto GrabMantap 143,Fast Food,Tangerang
GF-00145,Resto GrabMantap 144,Seafood,Bandung
GF-00146,Resto GrabMantap 145,Ayam Geprek,Bogor
GF-00147,Resto GrabMantap 146,Fast Food,Depok
GF-00148,Resto GrabMantap 147,Snacks,Bekasi
GF-00149,Resto GrabMantap 148,Martabak,Jakarta
GF-00150,Resto GrabMantap 149,Ayam Geprek,Bogor
GF-00151,Resto GrabMantap 150,Ayam Geprek,Bekasi
GF-00152,Resto GrabMantap 151,Snacks,Bandung
GF-00153,Resto GrabMantap 152,Martabak,Jakarta
GF-00154,Resto GrabMantap 153,Martabak,Depok
GF-00155,Resto GrabMantap 154,Snacks,Bogor
GF-00156,Resto GrabMantap 155,Snacks,Bandung
GF-00157,Resto GrabMantap 156,Martabak,Bandung
GF-00158,Resto GrabMantap 157,Martabak,Bekasi
GF-00159,Resto GrabMantap 158,Martabak,Jakarta
GF-00160,Resto GrabMantap 159,Beverages,Depok
GF-00161,Resto GrabMantap 160,Beverages,Depok
GF-00162,Resto GrabMantap 161,Snacks,Jakarta
GF-00163,Resto GrabMantap 162,Martabak,Medan
GF-00164,Resto GrabMantap 163,Martabak,Bali
GF-00165,Resto GrabMantap 164,Beverages,Medan
GF-00166,Resto GrabMantap 165,Fast Food,Makassar
GF-00167,Resto GrabMantap 166,Fast Food,Tangerang
GF-00168,Resto GrabMantap 167,Snacks,Makassar
GF-00169,Resto GrabMantap 168,Seafood,Surabaya
GF-00170,Resto GrabMantap 169,Ayam Geprek,Bogor
GF-00171,Resto GrabMantap 170,Fast Food,Medan
GF-00172,Resto GrabMantap 171,Fast Food,Medan
GF-00173,Resto GrabMantap 172,Beverages,Surabaya
GF-00174,Resto GrabMantap 173,Beverages,Jakarta
GF-00175,Resto GrabMantap 174,Fast Food,Tangerang
GF-00176,Resto GrabMantap 175,Fast Food,Bekasi
GF-00177,Resto GrabMantap 176,Fast Food,Bogor
GF-00178,Resto GrabMantap 177,Fast Food,Tangerang
GF-00179,Resto GrabMantap 178,Fast Food,Bogor
GF-00180,Resto GrabMantap 179,Ayam Geprek,Bali
GF-00181,Resto GrabMantap 180,Ayam Geprek,Jakarta
GF-00182,Resto GrabMantap 181,Ayam Geprek,Bandung
GF-00183,Resto GrabMantap 182,Martabak,Bekasi
GF-00184,Resto GrabMantap 183,Martabak,Bali
GF-00185,Resto GrabMantap 184,Fast Food,Bogor
GF-00186,Resto GrabMantap 185,Ayam Geprek,Bali
GF-00187,Resto GrabMantap 186,Ayam Geprek,Tangerang
GF-00188,Resto GrabMantap 187,Seafood,Bali
GF-00189,Resto GrabMantap 188,Beverages,Surabaya
GF-00190,Resto GrabMantap 189,Martabak,Surabaya
GF-00191,Resto GrabMantap 190,Snacks,Bali
GF-00192,Resto GrabMantap 191,Fast Food,Jakarta
GF-00193,Resto GrabMantap 192,Snacks,Bogor
GF-00194,Resto GrabMantap 193,Seafood,Bandung
GF-00195,Resto GrabMantap 194,Fast Food,Bandung
GF-00196,Resto GrabMantap 195,Beverages,Tangerang
GF-00197,Resto GrabMantap 196,Beverages,Bogor
GF-00198,Resto GrabMantap 197,Beverages,Bali
GF-00199,Resto GrabMantap 198,Snacks,Medan
GF-00200,Resto GrabMantap 199,Snacks,Tangerang
GF-00201,Resto GrabMantap 200,Snacks,Medan
GF-00202,Resto GrabMantap 201,Snacks,Surabaya
GF-00203,Resto GrabMantap 202,Seafood,Bogor
GF-00204,Resto GrabMantap 203,Fast Food,Depok
GF-00205,Resto GrabMantap 204,Fast Food,Surabaya
GF-00206,Resto GrabMantap 205,Ayam Geprek,Jakarta
GF-00207,Resto GrabMantap 206,Snacks,Makassar
GF-00208,Resto GrabMantap 207,Snacks,Makassar
GF-00209,Resto GrabMantap 208,Fast Food,Bandung
GF-00210,Resto GrabMantap 209,Snacks,Bekasi
GF-00211,Resto GrabMantap 210,Martabak,Jakarta
GF-00212,Resto GrabMantap 211,Snacks,Bandung
GF-00213,Resto GrabMantap 212,Ayam Geprek,Bali
GF-00214,Resto GrabMantap 213,Seafood,Surabaya
GF-00215,Resto GrabMantap 214,Martabak,Makassar
GF-00216,Resto GrabMantap 215,Snacks,Jakarta
GF-00217,Resto GrabMantap 216,Snacks,Jakarta
GF-00218,Resto GrabMantap 217,Martabak,Bogor
GF-00219,Resto GrabMantap 218,Martabak,Depok
GF-00220,Resto GrabMantap 219,Fast Food,Jakarta
GF-00221,Resto GrabMantap 220,Fast Food,Depok
GF-00222,Resto GrabMantap 221,Snacks,Bogor
GF-00223,Resto GrabMantap 222,Beverages,Bali
GF-00224,Resto GrabMantap 223,Beverages,Medan
GF-00225,Resto GrabMantap 224,Ayam Geprek,Depok
GF-00226,Resto GrabMantap 225,Beverages,Makassar
GF-00227,Resto GrabMantap 226,Martabak,Jakarta
GF-00228,Resto GrabMantap 227,Martabak,Jakarta
GF-00229,Resto GrabMantap 228,Fast Food,Surabaya
GF-00230,Resto GrabMantap 229,Martabak,Bekasi
GF-00231,Resto GrabMantap 230,Martabak,Medan
GF-00232,Resto GrabMantap 231,Fast Food,Bekasi
GF-00233,Resto GrabMantap 232,Ayam Geprek,Medan
GF-00234,Resto GrabMantap 233,Fast Food,Bogor
GF-00235,Resto GrabMantap 234,Martabak,Jakarta
GF-00236,Resto GrabMantap 235,Fast Food,Bandung
GF-00237,Resto GrabMantap 236,Snacks,Jakarta
GF-00238,Resto GrabMantap 237,Seafood,Surabaya
GF-00239,Resto GrabMantap 238,Snacks,Surabaya
GF-00240,Resto GrabMantap 239,Fast Food,Depok
GF-00241,Resto GrabMantap 240,Ayam Geprek,Tangerang
GF-00242,Resto GrabMantap 241,Martabak,Bekasi
GF-00243,Resto GrabMantap 242,Beverages,Jakarta
GF-00244,Resto GrabMantap 243,Seafood,Medan
GF-00245,Resto GrabMantap 244,Snacks,Tangerang
GF-00246,Resto GrabMantap 245,Martabak,Bogor
GF-00247,Resto GrabMantap 246,Beverages,Depok
GF-00248,Resto GrabMantap 247,Beverages,Medan
GF-00249,Resto GrabMantap 248,Fast Food,Bogor
GF-00250,Resto GrabMantap 249,Fast Food,Bali
GF-00251,Resto GrabMantap 250,Ayam Geprek,Bali
GF-00252,Resto GrabMantap 251,Seafood,Surabaya
GF-00253,Resto GrabMantap 252,Martabak,Makassar
GF-00254,Resto GrabMantap 253,Beverages,Jakarta
GF-00255,Resto GrabMantap 254,Seafood,Tangerang
GF-00256,Resto GrabMantap 255,Snacks,Bali
GF-00257,Resto GrabMantap 256,Martabak,Bekasi
GF-00258,Resto GrabMantap 257,Ayam Geprek,Jakarta
GF-00259,Resto GrabMantap 258,Fast Food,Bogor
GF-00260,Resto GrabMantap 259,Ayam Geprek,Tangerang
GF-00261,Resto GrabMantap 260,Ayam Geprek,Depok
GF-00262,Resto GrabMantap 261,Martabak,Bandung
GF-00263,Resto GrabMantap 262,Seafood,Tangerang
GF-00264,Resto GrabMantap 263,Martabak,Depok
GF-00265,Resto GrabMantap 264,Martabak,Makassar
GF-00266,Resto GrabMantap 265,Beverages,Bogor
GF-00267,Resto GrabMantap 266,Seafood,Bandung
GF-00268,Resto GrabMantap 267,Martabak,Surabaya
GF-00269,Resto GrabMantap 268,Ayam Geprek,Bekasi
GF-00270,Resto GrabMantap 269,Seafood,Bali
GF-00271,Resto GrabMantap 270,Ayam Geprek,Bekasi
GF-00272,Resto GrabMantap 271,Martabak,Bogor
GF-00273,Resto GrabMantap 272,Martabak,Makassar
GF-00274,Resto GrabMantap 273,Martabak,Surabaya
GF-00275,Resto GrabMantap 274,Snacks,Bekasi
GF-00276,Resto GrabMantap 275,Ayam Geprek,Medan
GF-00277,Resto GrabMantap 276,Seafood,Bogor
GF-00278,Resto GrabMantap 277,Fast Food,Tangerang
GF-00279,Resto GrabMantap 278,Seafood,Depok
GF-00280,Resto GrabMantap 279,Martabak,Jakarta
GF-00281,Resto GrabMantap 280,Snacks,Bali
GF-00282,Resto GrabMantap 281,Martabak,Medan
GF-00283,Resto GrabMantap 282,Snacks,Tangerang
GF-00284,Resto GrabMantap 283,Fast Food,Tangerang
GF-00285,Resto GrabMantap 284,Ayam Geprek,Tangerang
GF-00286,Resto GrabMantap 285,Fast Food,Jakarta
GF-00287,Resto GrabMantap 286,Ayam Geprek,Depok
GF-00288,Resto GrabMantap 287,Seafood,Bali
GF-00289,Resto GrabMantap 288,Beverages,Bogor
GF-00290,Resto GrabMantap 289,Martabak,Tangerang
GF-00291,Resto GrabMantap 290,Snacks,Bali
GF-00292,Resto GrabMantap 291,Beverages,Bali
GF-00293,Resto GrabMantap 292,Snacks,Surabaya
GF-00294,Resto GrabMantap 293,Martabak,Tangerang
GF-00295,Resto GrabMantap 294,Martabak,Tangerang
GF-00296,Resto GrabMantap 295,Snacks,Surabaya
GF-00297,Resto GrabMantap 296,Beverages,Bekasi
GF-00298,Resto GrabMantap 297,Snacks,Bali
GF-00299,Resto GrabMantap 298,Seafood,Tangerang
GF-00300,Resto GrabMantap 299,Seafood,Surabaya
GF-00301,Resto GrabMantap 300,Snacks,Medan
GF-00302,Resto GrabMantap 301,Fast Food,Medan
GF-00303,Resto GrabMantap 302,Fast Food,Surabaya
GF-00304,Resto GrabMantap 303,Seafood,Medan
GF-00305,Resto GrabMantap 304,Beverages,Bekasi
GF-00306,Resto GrabMantap 305,Martabak,Medan
GF-00307,Resto GrabMantap 306,Fast Food,Bali
GF-00308,Resto GrabMantap 307,Ayam Geprek,Surabaya
GF-00309,Resto GrabMantap 308,Martabak,Bogor
GF-00310,Resto GrabMantap 309,Martabak,Bekasi
GF-00311,Resto GrabMantap 310,Seafood,Depok
GF-00312,Resto GrabMantap 311,Seafood,Surabaya
GF-00313,Resto GrabMantap 312,Snacks,Bandung
GF-00314,Resto GrabMantap 313,Fast Food,Bandung
GF-00315,Resto GrabMantap 314,Snacks,Makassar
GF-00316,Resto GrabMantap 315,Ayam Geprek,Jakarta
GF-00317,Resto GrabMantap 316,Seafood,Jakarta
GF-00318,Resto GrabMantap 317,Seafood,Depok
GF-00319,Resto GrabMantap 318,Martabak,Surabaya
GF-00320,Resto GrabMantap 319,Martabak,Surabaya
GF-00321,Resto GrabMantap 320,Ayam Geprek,Bekasi
GF-00322,Resto GrabMantap 321,Martabak,Medan
GF-00323,Resto GrabMantap 322,Seafood,Bogor
GF-00324,Resto GrabMantap 323,Ayam Geprek,Jakarta
GF-00325,Resto GrabMantap 324,Martabak,Bali
GF-00326,Resto GrabMantap 325,Beverages,Bogor
GF-00327,Resto GrabMantap 326,Fast Food,Medan
GF-00328,Resto GrabMantap 327,Beverages,Bandung
GF-00329,Resto GrabMantap 328,Seafood,Surabaya
GF-00330,Resto GrabMantap 329,Beverages,Bekasi
GF-00331,Resto GrabMantap 330,Ayam Geprek,Depok
GF-00332,Resto GrabMantap 331,Beverages,Bogor
GF-00333,Resto GrabMantap 332,Snacks,Bali
GF-00334,Resto GrabMantap 333,Fast Food,Makassar
GF-00335,Resto GrabMantap 334,Martabak,Bali
GF-00336,Resto GrabMantap 335,Fast Food,Bogor
GF-00337,Resto GrabMantap 336,Snacks,Bali
GF-00338,Resto GrabMantap 337,Fast Food,Bekasi
GF-00339,Resto GrabMantap 338,Snacks,Bogor
GF-00340,Resto GrabMantap 339,Beverages,Bekasi
GF-00341,Resto GrabMantap 340,Seafood,Depok
GF-00342,Resto GrabMantap 341,Fast Food,Jakarta
GF-00343,Resto GrabMantap 342,Seafood,Medan
GF-00344,Resto GrabMantap 343,Snacks,Surabaya
GF-00345,Resto GrabMantap 344,Ayam Geprek,Bogor
GF-00346,Resto GrabMantap 345,Snacks,Bogor
GF-00347,Resto GrabMantap 346,Ayam Geprek,Medan
GF-00348,Resto GrabMantap 347,Martabak,Makassar
GF-00349,Resto GrabMantap 348,Fast Food,Bekasi
GF-00350,Resto GrabMantap 349,Seafood,Tangerang
GF-00351,Resto GrabMantap 350,Fast Food,Bandung
GF-00352,Resto GrabMantap 351,Snacks,Tangerang
GF-00353,Resto GrabMantap 352,Seafood,Surabaya
GF-00354,Resto GrabMantap 353,Martabak,Bogor
GF-00355,Resto GrabMantap 354,Martabak,Depok
GF-00356,Resto GrabMantap 355,Ayam Geprek,Bandung
GF-00357,Resto GrabMantap 356,Seafood,Bekasi
GF-00358,Resto GrabMantap 357,Beverages,Bandung
GF-00359,Resto GrabMantap 358,Seafood,Makassar
GF-00360,Resto GrabMantap 359,Seafood,Medan
GF-00361,Resto GrabMantap 360,Beverages,Medan
GF-00362,Resto GrabMantap 361,Martabak,Bali
GF-00363,Resto GrabMantap 362,Snacks,Jakarta
GF-00364,Resto GrabMantap 363,Ayam Geprek,Jakarta
GF-00365,Resto GrabMantap 364,Ayam Geprek,Jakarta
GF-00366,Resto GrabMantap 365,Ayam Geprek,Makassar
GF-00367,Resto GrabMantap 366,Seafood,Makassar
GF-00368,Resto GrabMantap 367,Fast Food,Depok
GF-00369,Resto GrabMantap 368,Ayam Geprek,Tangerang
GF-00370,Resto GrabMantap 369,Fast Food,Makassar
GF-00371,Resto GrabMantap 370,Snacks,Makassar
GF-00372,Resto GrabMantap 371,Martabak,Bekasi
GF-00373,Resto GrabMantap 372,Beverages,Bekasi
GF-00374,Resto GrabMantap 373,Ayam Geprek,Bali
GF-00375,Resto GrabMantap 374,Beverages,Bekasi
GF-00376,Resto GrabMantap 375,Seafood,Bogor
GF-00377,Resto GrabMantap 376,Snacks,Bogor
GF-00378,Resto GrabMantap 377,Beverages,Bekasi
GF-00379,Resto GrabMantap 378,Seafood,Makassar
GF-00380,Resto GrabMantap 379,Ayam Geprek,Depok
GF-00381,Resto GrabMantap 380,Snacks,Makassar
GF-00382,Resto GrabMantap 381,Snacks,Surabaya
GF-00383,Resto GrabMantap 382,Fast Food,Bekasi
GF-00384,Resto GrabMantap 383,Beverages,Medan
GF-00385,Resto GrabMantap 384,Beverages,Makassar
GF-00386,Resto GrabMantap 385,Ayam Geprek,Depok
GF-00387,Resto GrabMantap 386,Beverages,Makassar
GF-00388,Resto GrabMantap 387,Seafood,Bali
GF-00389,Resto GrabMantap 388,Ayam Geprek,Surabaya
GF-00390,Resto GrabMantap 389,Ayam Geprek,Surabaya
GF-00391,Resto GrabMantap 390,Fast Food,Medan
GF-00392,Resto GrabMantap 391,Ayam Geprek,Depok
GF-00393,Resto GrabMantap 392,Beverages,Makassar
GF-00394,Resto GrabMantap 393,Ayam Geprek,Tangerang
GF-00395,Resto GrabMantap 394,Ayam Geprek,Bekasi
GF-00396,Resto GrabMantap 395,Snacks,Makassar
GF-00397,Resto GrabMantap 396,Beverages,Tangerang
GF-00398,Resto GrabMantap 397,Fast Food,Makassar
GF-00399,Resto GrabMantap 398,Seafood,Medan
GF-00400,Resto GrabMantap 399,Ayam Geprek,Jakarta
GF-00401,Resto GrabMantap 400,Fast Food,Surabaya
GF-00402,Resto GrabMantap 401,Fast Food,Bekasi
GF-00403,Resto GrabMantap 402,Ayam Geprek,Medan
GF-00404,Resto GrabMantap 403,Ayam Geprek,Jakarta
GF-00405,Resto GrabMantap 404,Ayam Geprek,Bekasi
GF-00406,Resto GrabMantap 405,Seafood,Tangerang
GF-00407,Resto GrabMantap 406,Seafood,Surabaya
GF-00408,Resto GrabMantap 407,Ayam Geprek,Medan
GF-00409,Resto GrabMantap 408,Seafood,Medan
GF-00410,Resto GrabMantap 409,Snacks,Bekasi
GF-00411,Resto GrabMantap 410,Martabak,Bali
GF-00412,Resto GrabMantap 411,Seafood,Bogor
GF-00413,Resto GrabMantap 412,Snacks,Bogor
GF-00414,Resto GrabMantap 413,Fast Food,Bali
GF-00415,Resto GrabMantap 414,Beverages,Medan
GF-00416,Resto GrabMantap 415,Seafood,Bekasi
GF-00417,Resto GrabMantap 416,Fast Food,Surabaya
GF-00418,Resto GrabMantap 417,Seafood,Medan
GF-00419,Resto GrabMantap 418,Snacks,Bandung
GF-00420,Resto GrabMantap 419,Martabak,Jakarta
GF-00421,Resto GrabMantap 420,Beverages,Bali
GF-00422,Resto GrabMantap 421,Martabak,Medan
GF-00423,Resto GrabMantap 422,Seafood,Bekasi
GF-00424,Resto GrabMantap 423,Ayam Geprek,Bali
GF-00425,Resto GrabMantap 424,Ayam Geprek,Medan
GF-00426,Resto GrabMantap 425,Seafood,Bogor
GF-00427,Resto GrabMantap 426,Ayam Geprek,Surabaya
GF-00428,Resto GrabMantap 427,Martabak,Medan
GF-00429,Resto GrabMantap 428,Ayam Geprek,Makassar
GF-00430,Resto GrabMantap 429,Ayam Geprek,Bekasi
GF-00431,Resto GrabMantap 430,Fast Food,Surabaya
GF-00432,Resto GrabMantap 431,Martabak,Bogor
GF-00433,Resto GrabMantap 432,Beverages,Bandung
GF-00434,Resto GrabMantap 433,Fast Food,Makassar
GF-00435,Resto GrabMantap 434,Beverages,Bandung
GF-00436,Resto GrabMantap 435,Snacks,Surabaya
GF-00437,Resto GrabMantap 436,Beverages,Surabaya
GF-00438,Resto GrabMantap 437,Fast Food,Bali
GF-00439,Resto GrabMantap 438,Snacks,Depok
GF-00440,Resto GrabMantap 439,Snacks,Medan
GF-00441,Resto GrabMantap 440,Fast Food,Surabaya
GF-00442,Resto GrabMantap 441,Seafood,Tangerang
GF-00443,Resto GrabMantap 442,Martabak,Tangerang
GF-00444,Resto GrabMantap 443,Ayam Geprek,Bekasi
GF-00445,Resto GrabMantap 444,Snacks,Bekasi
GF-00446,Resto GrabMantap 445,Snacks,Bandung
GF-00447,Resto GrabMantap 446,Snacks,Depok
GF-00448,Resto GrabMantap 447,Snacks,Jakarta
GF-00449,Resto GrabMantap 448,Seafood,Bandung
GF-00450,Resto GrabMantap 449,Seafood,Tangerang
GF-00451,Resto GrabMantap 450,Martabak,Bogor
GF-00452,Resto GrabMantap 451,Snacks,Bogor
GF-00453,Resto GrabMantap 452,Fast Food,Bandung
GF-00454,Resto GrabMantap 453,Seafood,Medan
GF-00455,Resto GrabMantap 454,Beverages,Medan
GF-00456,Resto GrabMantap 455,Fast Food,Bandung
GF-00457,Resto GrabMantap 456,Martabak,Tangerang
GF-00458,Resto GrabMantap 457,Fast Food,Makassar
GF-00459,Resto GrabMantap 458,Snacks,Bogor
GF-00460,Resto GrabMantap 459,Ayam Geprek,Bekasi
GF-00461,Resto GrabMantap 460,Beverages,Bali
GF-00462,Resto GrabMantap 461,Martabak,Bandung
GF-00463,Resto GrabMantap 462,Martabak,Tangerang
GF-00464,Resto GrabMantap 463,Ayam Geprek,Surabaya
GF-00465,Resto GrabMantap 464,Seafood,Tangerang
GF-00466,Resto GrabMantap 465,Ayam Geprek,Depok
GF-00467,Resto GrabMantap 466,Ayam Geprek,Bekasi
GF-00468,Resto GrabMantap 467,Snacks,Bekasi
GF-00469,Resto GrabMantap 468,Ayam Geprek,Medan
GF-00470,Resto GrabMantap 469,Snacks,Jakarta
GF-00471,Resto GrabMantap 470,Martabak,Makassar
GF-00472,Resto GrabMantap 471,Snacks,Bogor
GF-00473,Resto GrabMantap 472,Snacks,Bali
GF-00474,Resto GrabMantap 473,Fast Food,Tangerang
GF-00475,Resto GrabMantap 474,Fast Food,Depok
GF-00476,Resto GrabMantap 475,Martabak,Makassar
GF-00477,Resto GrabMantap 476,Ayam Geprek,Depok
GF-00478,Resto GrabMantap 477,Seafood,Bandung
GF-00479,Resto GrabMantap 478,Snacks,Bandung
GF-00480,Resto GrabMantap 479,Beverages,Jakarta
