,merchant_id,merchant_name,cuisine_type,city
69,GF-00070,Resto GrabMantap 69,Martabak,Bogor
70,GF-00071,Resto GrabMantap 70,Snacks,Bogor
71,GF-00072,Resto GrabMantap 71,Seafood,Jakarta
72,GF-00073,Resto GrabMantap 72,Fast Food,Bogor
73,GF-00074,Resto GrabMantap 73,Beverages,Bali
74,GF-00075,Resto GrabMantap 74,Beverages,Jakarta
75,GF-00076,Resto GrabMantap 75,Beverages,Bekasi
76,GF-00077,Resto GrabMantap 76,Ayam Geprek,Bali
77,GF-00078,Resto GrabMantap 77,Beverages,Makassar
78,GF-00079,Resto GrabMantap 78,Fast Food,Bandung
79,GF-00080,Resto GrabMantap 79,Ayam Geprek,Bandung
80,GF-00081,Resto GrabMantap 80,Snacks,Surabaya
81,GF-00082,Resto GrabMantap 81,Beverages,Bogor
82,GF-00083,Resto GrabMantap 82,Martabak,Medan
83,GF-00084,Resto GrabMantap 83,Seafood,Bali
84,GF-00085,Resto GrabMantap 84,Ayam Geprek,Jakarta
85,GF-00086,Resto GrabMantap 85,Ayam Geprek,Bali
86,GF-00087,Resto GrabMantap 86,Ayam Geprek,Bekasi
87,GF-00088,Resto GrabMantap 87,Beverages,Bekasi
88,GF-00089,Resto GrabMantap 88,Seafood,Tangerang
89,GF-00090,Resto GrabMantap 89,Snacks,Jakarta
90,GF-00091,Resto GrabMantap 90,Ayam Geprek,Surabaya
91,GF-00092,Resto GrabMantap 91,Ayam Geprek,Tangerang
92,GF-00093,Resto GrabMantap 92,Seafood,Jakarta
93,GF-00094,Resto GrabMantap 93,Snacks,Medan
94,GF-00095,Resto GrabMantap 94,Snacks,Depok
95,GF-00096,Resto GrabMantap 95,Snacks,Surabaya
96,GF-00097,Resto GrabMantap 96,Martabak,Medan
97,GF-00098,Resto GrabMantap 97,Fast Food,Medan
98,GF-00099,Resto GrabMantap 98,Fast Food,Bogor
99,GF-00100,Resto GrabMantap 99,Fast Food,Bogor
100,GF-00101,Resto GrabMantap 100,Martabak,Bandung
101,GF-00102,Resto GrabMantap 101,Ayam Geprek,Bali
102,GF-00103,Resto GrabMantap 102,Snacks,Surabaya
103,GF-00104,Resto GrabMantap 103,Snacks,Medan
104,GF-00105,Resto GrabMantap 104,Beverages,Jakarta
105,GF-00106,Resto GrabMantap 105,Ayam Geprek,Bali
106,GF-00107,Resto GrabMantap 106,Beverages,Makassar
107,GF-00108,Resto GrabMantap 107,Seafood,Bali
108,GF-00109,Resto GrabMantap 108,Beverages,Bekasi
109,GF-00110,Resto GrabMantap 109,Snacks,Bandung
110,GF-00111,Resto GrabMantap 110,Fast Food,Bekasi
111,GF-00112,Resto GrabMantap 111,Beverages,Tangerang
112,GF-00113,Resto GrabMantap 112,Martabak,Tangerang
113,GF-00114,Resto GrabMantap 113,Snacks,Bali
114,GF-00115,Resto GrabMantap 114,Martabak,Tangerang
115,GF-00116,Resto GrabMantap 115,Snacks,Tangerang
116,GF-00117,Resto GrabMantap 116,Snacks,Depok
117,GF-00118,Resto GrabMantap 117,Ayam Geprek,Makassar
118,GF-00119,Resto GrabMantap 118,Martabak,Bekasi
119,GF-00120,Resto GrabMantap 119,Fast Food,Medan
120,GF-00121,Resto GrabMantap 120,Beverages,Makassar
121,GF-00122,Resto GrabMantap 121,Snacks,Tangerang
122,GF-00123,Resto GrabMantap 122,Fast Food,Surabaya
123,GF-00124,Resto GrabMantap 123,Seafood,Medan
124,GF-00125,Resto GrabMantap 124,Snacks,Bekasi
125,GF-00126,Resto GrabMantap 125,Snacks,Depok
126,GF-00127,Resto GrabMantap 126,Ayam Geprek,Bekasi
127,GF-00128,Resto GrabMantap 127,Ayam Geprek,Surabaya
128,GF-00129,Resto GrabMantap 128,Beverages,Surabaya
129,GF-00130,Resto GrabMantap 129,Ayam Geprek,Medan
130,GF-00131,Resto GrabMantap 130,Seafood,Makassar
131,GF-00132,Resto GrabMantap 131,Fast Food,Bekasi
132,GF-00133,Resto GrabMantap 132,Ayam Geprek,Bandung
133,GF-00134,Resto GrabMantap 133,Snacks,Depok
134,GF-00135,Resto GrabMantap 134,Snacks,Bekasi
135,GF-00136,Resto GrabMantap 135,Martabak,Surabaya
136,GF-00137,Resto GrabMantap 136,Ayam Geprek,Bali
137,GF-00138,Resto GrabMantap 137,Seafood,Tangerang
138,GF-00139,Resto GrabMantap 138,Fast Food,Tangerang
139,GF-00140,Resto GrabMantap 139,Fast Food,Bogor
140,GF-00141,Resto GrabMantap 140,Snacks,Bandung
141,GF-00142,Resto GrabMantap 141,Seafood,Bali
142,GF-00143,Resto GrabMantap 142,Martabak,Jakarta
143,GF-00144,Resto GrabMantap 143,Fast Food,Tangerang
144,GF-00145,Resto GrabMantap 144,Seafood,Bandung
145,GF-00146,Resto GrabMantap 145,Ayam Geprek,Bogor
146,GF-00147,Resto GrabMantap 146,Fast Food,Depok
147,GF-00148,Resto GrabMantap 147,Snacks,Bekasi
148,GF-00149,Resto GrabMantap 148,Martabak,Jakarta
149,GF-00150,Resto GrabMantap 149,Ayam Geprek,Bogor
150,GF-00151,Resto GrabMantap 150,Ayam Geprek,Bekasi
151,GF-00152,Resto GrabMantap 151,Snacks,Bandung
152,GF-00153,Resto GrabMantap 152,Martabak,Jakarta
153,GF-00154,Resto GrabMantap 153,Martabak,Depok
154,GF-00155,Resto GrabMantap 154,Snacks,Bogor
155,GF-00156,Resto GrabMantap 155,Snacks,Bandung
156,GF-00157,Resto GrabMantap 156,Martabak,Bandung
157,GF-00158,Resto GrabMantap 157,Martabak,Bekasi
158,GF-00159,Resto GrabMantap 158,Martabak,Jakarta
159,GF-00160,Resto GrabMantap 159,Beverages,Depok
160,GF-00161,Resto GrabMantap 160,Beverages,Depok
161,GF-00162,Resto GrabMantap 161,Snacks,Jakarta
162,GF-00163,Resto GrabMantap 162,Martabak,Medan
163,GF-00164,Resto GrabMantap 163,Martabak,Bali
164,GF-00165,Resto GrabMantap 164,Beverages,Medan
165,GF-00166,Resto GrabMantap 165,Fast Food,Makassar
166,GF-00167,Resto GrabMantap 166,Fast Food,Tangerang
167,GF-00168,Resto GrabMantap 167,Snacks,Makassar
168,GF-00169,Resto GrabMantap 168,Seafood,Surabaya
169,GF-00170,Resto GrabMantap 169,Ayam Geprek,Bogor
170,GF-00171,Resto GrabMantap 170,Fast Food,Medan
171,GF-00172,Resto GrabMantap 171,Fast Food,Medan
172,GF-00173,Resto GrabMantap 172,Beverages,Surabaya
173,GF-00174,Resto GrabMantap 173,Beverages,Jakarta
174,GF-00175,Resto GrabMantap 174,Fast Food,Tangerang
175,GF-00176,Resto GrabMantap 175,Fast Food,Bekasi
176,GF-00177,Resto GrabMantap 176,Fast Food,Bogor
177,GF-00178,Resto GrabMantap 177,Fast Food,Tangerang
178,GF-00179,Resto GrabMantap 178,Fast Food,Bogor
179,GF-00180,Resto GrabMantap 179,Ayam Geprek,Bali
180,GF-00181,Resto GrabMantap 180,Ayam Geprek,Jakarta
181,GF-00182,Resto GrabMantap 181,Ayam Geprek,Bandung
182,GF-00183,Resto GrabMantap 182,Martabak,Bekasi
183,GF-00184,Resto GrabMantap 183,Martabak,Bali
184,GF-00185,Resto GrabMantap 184,Fast Food,Bogor
185,GF-00186,Resto GrabMantap 185,Ayam Geprek,Bali
186,GF-00187,Resto GrabMantap 186,Ayam Geprek,Tangerang
187,GF-00188,Resto GrabMantap 187,Seafood,Bali
188,GF-00189,Resto GrabMantap 188,Beverages,Surabaya
189,GF-00190,Resto GrabMantap 189,Martabak,Surabaya
190,GF-00191,Resto GrabMantap 190,Snacks,Bali
191,GF-00192,Resto GrabMantap 191,Fast Food,Jakarta
192,GF-00193,Resto GrabMantap 192,Snacks,Bogor
193,GF-00194,Resto GrabMantap 193,Seafood,Bandung
194,GF-00195,Resto GrabMantap 194,Fast Food,Bandung
195,GF-00196,Resto GrabMantap 195,Beverages,Tangerang
196,GF-00197,Resto GrabMantap 196,Beverages,Bogor
197,GF-00198,Resto GrabMantap 197,Beverages,Bali
198,GF-00199,Resto GrabMantap 198,Snacks,Medan
199,GF-00200,Resto GrabMantap 199,Snacks,Tangerang
200,GF-00201,Resto GrabMantap 200,Snacks,Medan
201,GF-00202,Resto GrabMantap 201,Snacks,Surabaya
202,GF-00203,Resto GrabMantap 202,Seafood,Bogor
203,GF-00204,Resto GrabMantap 203,Fast Food,Depok
204,GF-00205,Resto GrabMantap 204,Fast Food,Surabaya
205,GF-00206,Resto GrabMantap 205,Ayam Geprek,Jakarta
206,GF-00207,Resto GrabMantap 206,Snacks,Makassar
207,GF-00208,Resto GrabMantap 207,Snacks,Makassar
208,GF-00209,Resto GrabMantap 208,Fast Food,Bandung
209,GF-00210,Resto GrabMantap 209,Snacks,Bekasi
210,GF-00211,Resto GrabMantap 210,Martabak,Jakarta
211,GF-00212,Resto GrabMantap 211,Snacks,Bandung
212,GF-00213,Resto GrabMantap 212,Ayam Geprek,Bali
213,GF-00214,Resto GrabMantap 213,Seafood,Surabaya
214,GF-00215,Resto GrabMantap 214,Martabak,Makassar
215,GF-00216,Resto GrabMantap 215,Snacks,Jakarta
216,GF-00217,Resto GrabMantap 216,Snacks,Jakarta
217,GF-00218,Resto GrabMantap 217,Martabak,Bogor
218,GF-00219,Resto GrabMantap 218,Martabak,Depok
219,GF-00220,Resto GrabMantap 219,Fast Food,Jakarta
220,GF-00221,Resto GrabMantap 220,Fast Food,Depok
221,GF-00222,Resto GrabMantap 221,Snacks,Bogor
222,GF-00223,Resto GrabMantap 222,Beverages,Bali
223,GF-00224,Resto GrabMantap 223,Beverages,Medan
224,GF-00225,Resto GrabMantap 224,Ayam Geprek,Depok
225,GF-00226,Resto GrabMantap 225,Beverages,Makassar
226,GF-00227,Resto GrabMantap 226,Martabak,Jakarta
227,GF-00228,Resto GrabMantap 227,Martabak,Jakarta
228,GF-00229,Resto GrabMantap 228,Fast Food,Surabaya
229,GF-00230,Resto GrabMantap 229,Martabak,Bekasi
230,GF-00231,Resto GrabMantap 230,Martabak,Medan
231,GF-00232,Resto GrabMantap 231,Fast Food,Bekasi
232,GF-00233,Resto GrabMantap 232,Ayam Geprek,Medan
233,GF-00234,Resto GrabMantap 233,Fast Food,Bogor
234,GF-00235,Resto GrabMantap 234,Martabak,Jakarta
235,GF-00236,Resto GrabMantap 235,Fast Food,Bandung
236,GF-00237,Resto GrabMantap 236,Snacks,Jakarta
237,GF-00238,Resto GrabMantap 237,Seafood,Surabaya
238,GF-00239,Resto GrabMantap 238,Snacks,Surabaya
239,GF-00240,Resto GrabMantap 239,Fast Food,Depok
240,GF-00241,Resto GrabMantap 240,Ayam Geprek,Tangerang
241,GF-00242,Resto GrabMantap 241,Martabak,Bekasi
242,GF-00243,Resto GrabMantap 242,Beverages,Jakarta
243,GF-00244,Resto GrabMantap 243,Seafood,Medan
244,GF-00245,Resto GrabMantap 244,Snacks,Tangerang
245,GF-00246,Resto GrabMantap 245,Martabak,Bogor
246,GF-00247,Resto GrabMantap 246,Beverages,Depok
247,GF-00248,Resto GrabMantap 247,Beverages,Medan
248,GF-00249,Resto GrabMantap 248,Fast Food,Bogor
249,GF-00250,Resto GrabMantap 249,Fast Food,Bali
250,GF-00251,Resto GrabMantap 250,Ayam Geprek,Bali
251,GF-00252,Resto GrabMantap 251,Seafood,Surabaya
252,GF-00253,Resto GrabMantap 252,Martabak,Makassar
253,GF-00254,Resto GrabMantap 253,Beverages,Jakarta
254,GF-00255,Resto GrabMantap 254,Seafood,Tangerang
255,GF-00256,Resto GrabMantap 255,Snacks,Bali
256,GF-00257,Resto GrabMantap 256,Martabak,Bekasi
257,GF-00258,Resto GrabMantap 257,Ayam Geprek,Jakarta
258,GF-00259,Resto GrabMantap 258,Fast Food,Bogor
259,GF-00260,Resto GrabMantap 259,Ayam Geprek,Tangerang
260,GF-00261,Resto GrabMantap 260,Ayam Geprek,Depok
261,GF-00262,Resto GrabMantap 261,Martabak,Bandung
262,GF-00263,Resto GrabMantap 262,Seafood,Tangerang
263,GF-00264,Resto GrabMantap 263,Martabak,Depok
264,GF-00265,Resto GrabMantap 264,Martabak,Makassar
265,GF-00266,Resto GrabMantap 265,Beverages,Bogor
266,GF-00267,Resto GrabMantap 266,Seafood,Bandung
267,GF-00268,Resto GrabMantap 267,Martabak,Surabaya
268,GF-00269,Resto GrabMantap 268,Ayam Geprek,Bekasi
269,GF-00270,Resto GrabMantap 269,Seafood,Bali
270,GF-00271,Resto GrabMantap 270,Ayam Geprek,Bekasi
271,GF-00272,Resto GrabMantap 271,Martabak,Bogor
272,GF-00273,Resto GrabMantap 272,Martabak,Makassar
273,GF-00274,Resto GrabMantap 273,Martabak,Surabaya
274,GF-00275,Resto GrabMantap 274,Snacks,Bekasi
275,GF-00276,Resto GrabMantap 275,Ayam Geprek,Medan
276,GF-00277,Resto GrabMantap 276,Seafood,Bogor
277,GF-00278,Resto GrabMantap 277,Fast Food,Tangerang
278,GF-00279,Resto GrabMantap 278,Seafood,Depok
279,GF-00280,Resto GrabMantap 279,Martabak,Jakarta
280,GF-00281,Resto GrabMantap 280,Snacks,Bali
281,GF-00282,Resto GrabMantap 281,Martabak,Medan
282,GF-00283,Resto GrabMantap 282,Snacks,Tangerang
283,GF-00284,Resto GrabMantap 283,Fast Food,Tangerang
284,GF-00285,Resto GrabMantap 284,Ayam Geprek,Tangerang
285,GF-00286,Resto GrabMantap 285,Fast Food,Jakarta
286,GF-00287,Resto GrabMantap 286,Ayam Geprek,Depok
287,GF-00288,Resto GrabMantap 287,Seafood,Bali
288,GF-00289,Resto GrabMantap 288,Beverages,Bogor
289,GF-00290,Resto GrabMantap 289,Martabak,Tangerang
290,GF-00291,Resto GrabMantap 290,Snacks,Bali
291,GF-00292,Resto GrabMantap 291,Beverages,Bali
292,GF-00293,Resto GrabMantap 292,Snacks,Surabaya
293,GF-00294,Resto GrabMantap 293,Martabak,Tangerang
294,GF-00295,Resto GrabMantap 294,Martabak,Tangerang
295,GF-00296,Resto GrabMantap 295,Snacks,Surabaya
296,GF-00297,Resto GrabMantap 296,Beverages,Bekasi
297,GF-00298,Resto GrabMantap 297,Snacks,Bali
298,GF-00299,Resto GrabMantap 298,Seafood,Tangerang
299,GF-00300,Resto GrabMantap 299,Seafood,Surabaya
300,GF-00301,Resto GrabMantap 300,Snacks,Medan
301,GF-00302,Resto GrabMantap 301,Fast Food,Medan
302,GF-00303,Resto GrabMantap 302,Fast Food,Surabaya
303,GF-00304,Resto GrabMantap 303,Seafood,Medan
304,GF-00305,Resto GrabMantap 304,Beverages,Bekasi
305,GF-00306,Resto GrabMantap 305,Martabak,Medan
306,GF-00307,Resto GrabMantap 306,Fast Food,Bali
307,GF-00308,Resto GrabMantap 307,Ayam Geprek,Surabaya
308,GF-00309,Resto GrabMantap 308,Martabak,Bogor
309,GF-00310,Resto GrabMantap 309,Martabak,Bekasi
310,GF-00311,Resto GrabMantap 310,Seafood,Depok
311,GF-00312,Resto GrabMantap 311,Seafood,Surabaya
312,GF-00313,Resto GrabMantap 312,Snacks,Bandung
313,GF-00314,Resto GrabMantap 313,Fast Food,Bandung
314,GF-00315,Resto GrabMantap 314,Snacks,Makassar
315,GF-00316,Resto GrabMantap 315,Ayam Geprek,Jakarta
316,GF-00317,Resto GrabMantap 316,Seafood,Jakarta
317,GF-00318,Resto GrabMantap 317,Seafood,Depok
318,GF-00319,Resto GrabMantap 318,Martabak,Surabaya
319,GF-00320,Resto GrabMantap 319,Martabak,Surabaya
320,GF-00321,Resto GrabMantap 320,Ayam Geprek,Bekasi
321,GF-00322,Resto GrabMantap 321,Martabak,Medan
322,GF-00323,Resto GrabMantap 322,Seafood,Bogor
323,GF-00324,Resto GrabMantap 323,Ayam Geprek,Jakarta
324,GF-00325,Resto GrabMantap 324,Martabak,Bali
325,GF-00326,Resto GrabMantap 325,Beverages,Bogor
326,GF-00327,Resto GrabMantap 326,Fast Food,Medan
327,GF-00328,Resto GrabMantap 327,Beverages,Bandung
328,GF-00329,Resto GrabMantap 328,Seafood,Surabaya
329,GF-00330,Resto GrabMantap 329,Beverages,Bekasi
330,GF-00331,Resto GrabMantap 330,Ayam Geprek,Depok
331,GF-00332,Resto GrabMantap 331,Beverages,Bogor
332,GF-00333,Resto GrabMantap 332,Snacks,Bali
333,GF-00334,Resto GrabMantap 333,Fast Food,Makassar
334,GF-00335,Resto GrabMantap 334,Martabak,Bali
335,GF-00336,Resto GrabMantap 335,Fast Food,Bogor
336,GF-00337,Resto GrabMantap 336,Snacks,Bali
337,GF-00338,Resto GrabMantap 337,Fast Food,Bekasi
338,GF-00339,Resto GrabMantap 338,Snacks,Bogor
339,GF-00340,Resto GrabMantap 339,Beverages,Bekasi
340,GF-00341,Resto GrabMantap 340,Seafood,Depok
341,GF-00342,Resto GrabMantap 341,Fast Food,Jakarta
342,GF-00343,Resto GrabMantap 342,Seafood,Medan
343,GF-00344,Resto GrabMantap 343,Snacks,Surabaya
344,GF-00345,Resto GrabMantap 344,Ayam Geprek,Bogor
345,GF-00346,Resto GrabMantap 345,Snacks,Bogor
346,GF-00347,Resto GrabMantap 346,Ayam Geprek,Medan
347,GF-00348,Resto GrabMantap 347,Martabak,Makassar
348,GF-00349,Resto GrabMantap 348,Fast Food,Bekasi
349,GF-00350,Resto GrabMantap 349,Seafood,Tangerang
350,GF-00351,Resto GrabMantap 350,Fast Food,Bandung
351,GF-00352,Resto GrabMantap 351,Snacks,Tangerang
352,GF-00353,Resto GrabMantap 352,Seafood,Surabaya
353,GF-00354,Resto GrabMantap 353,Martabak,Bogor
354,GF-00355,Resto GrabMantap 354,Martabak,Depok
355,GF-00356,Resto GrabMantap 355,Ayam Geprek,Bandung
356,GF-00357,Resto GrabMantap 356,Seafood,Bekasi
357,GF-00358,Resto GrabMantap 357,Beverages,Bandung
358,GF-00359,Resto GrabMantap 358,Seafood,Makassar
359,GF-00360,Resto GrabMantap 359,Seafood,Medan
360,GF-00361,Resto GrabMantap 360,Beverages,Medan
361,GF-00362,Resto GrabMantap 361,Martabak,Bali
362,GF-00363,Resto GrabMantap 362,Snacks,Jakarta
363,GF-00364,Resto GrabMantap 363,Ayam Geprek,Jakarta
364,GF-00365,Resto GrabMantap 364,Ayam Geprek,Jakarta
365,GF-00366,Resto GrabMantap 365,Ayam Geprek,Makassar
366,GF-00367,Resto GrabMantap 366,Seafood,Makassar
367,GF-00368,Resto GrabMantap 367,Fast Food,Depok
368,GF-00369,Resto GrabMantap 368,Ayam Geprek,Tangerang
369,GF-00370,Resto GrabMantap 369,Fast Food,Makassar
370,GF-00371,Resto GrabMantap 370,Snacks,Makassar
371,GF-00372,Resto GrabMantap 371,Martabak,Bekasi
372,GF-00373,Resto GrabMantap 372,Beverages,Bekasi
373,GF-00374,Resto GrabMantap 373,Ayam Geprek,Bali
374,GF-00375,Resto GrabMantap 374,Beverages,Bekasi
375,GF-00376,Resto GrabMantap 375,Seafood,Bogor
376,GF-00377,Resto GrabMantap 376,Snacks,Bogor
377,GF-00378,Resto GrabMantap 377,Beverages,Bekasi
378,GF-00379,Resto GrabMantap 378,Seafood,Makassar
379,GF-00380,Resto GrabMantap 379,Ayam Geprek,Depok
380,GF-00381,Resto GrabMantap 380,Snacks,Makassar
381,GF-00382,Resto GrabMantap 381,Snacks,Surabaya
382,GF-00383,Resto GrabMantap 382,Fast Food,Bekasi
383,GF-00384,Resto GrabMantap 383,Beverages,Medan
384,GF-00385,Resto GrabMantap 384,Beverages,Makassar
385,GF-00386,Resto GrabMantap 385,Ayam Geprek,Depok
386,GF-00387,Resto GrabMantap 386,Beverages,Makassar
387,GF-00388,Resto GrabMantap 387,Seafood,Bali
388,GF-00389,Resto GrabMantap 388,Ayam Geprek,Surabaya
389,GF-00390,Resto GrabMantap 389,Ayam Geprek,Surabaya
390,GF-00391,Resto GrabMantap 390,Fast Food,Medan
391,GF-00392,Resto GrabMantap 391,Ayam Geprek,Depok
392,GF-00393,Resto GrabMantap 392,Beverages,Makassar
393,GF-00394,Resto GrabMantap 393,Ayam Geprek,Tangerang
394,GF-00395,Resto GrabMantap 394,Ayam Geprek,Bekasi
395,GF-00396,Resto GrabMantap 395,Snacks,Makassar
396,GF-00397,Resto GrabMantap 396,Beverages,Tangerang
397,GF-00398,Resto GrabMantap 397,Fast Food,Makassar
398,GF-00399,Resto GrabMantap 398,Seafood,Medan
399,GF-00400,Resto GrabMantap 399,Ayam Geprek,Jakarta
400,GF-00401,Resto GrabMantap 400,Fast Food,Surabaya
401,GF-00402,Resto GrabMantap 401,Fast Food,Bekasi
402,GF-00403,Resto GrabMantap 402,Ayam Geprek,Medan
403,GF-00404,Resto GrabMantap 403,Ayam Geprek,Jakarta
404,GF-00405,Resto GrabMantap 404,Ayam Geprek,Bekasi
405,GF-00406,Resto GrabMantap 405,Seafood,Tangerang
406,GF-00407,Resto GrabMantap 406,Seafood,Surabaya
407,GF-00408,Resto GrabMantap 407,Ayam Geprek,Medan
408,GF-00409,Resto GrabMantap 408,Seafood,Medan
409,GF-00410,Resto GrabMantap 409,Snacks,Bekasi
410,GF-00411,Resto GrabMantap 410,Martabak,Bali
411,GF-00412,Resto GrabMantap 411,Seafood,Bogor
412,GF-00413,Resto GrabMantap 412,Snacks,Bogor
413,GF-00414,Resto GrabMantap 413,Fast Food,Bali
414,GF-00415,Resto GrabMantap 414,Beverages,Medan
415,GF-00416,Resto GrabMantap 415,Seafood,Bekasi
416,GF-00417,Resto GrabMantap 416,Fast Food,Surabaya
417,GF-00418,Resto GrabMantap 417,Seafood,Medan
418,GF-00419,Resto GrabMantap 418,Snacks,Bandung
419,GF-00420,Resto GrabMantap 419,Martabak,Jakarta
420,GF-00421,Resto GrabMantap 420,Beverages,Bali
421,GF-00422,Resto GrabMantap 421,Martabak,Medan
422,GF-00423,Resto GrabMantap 422,Seafood,Bekasi
423,GF-00424,Resto GrabMantap 423,Ayam Geprek,Bali
424,GF-00425,Resto GrabMantap 424,Ayam Geprek,Medan
425,GF-00426,Resto GrabMantap 425,Seafood,Bogor
426,GF-00427,Resto GrabMantap 426,Ayam Geprek,Surabaya
427,GF-00428,Resto GrabMantap 427,Martabak,Medan
428,GF-00429,Resto GrabMantap 428,Ayam Geprek,Makassar
429,GF-00430,Resto GrabMantap 429,Ayam Geprek,Bekasi
430,GF-00431,Resto GrabMantap 430,Fast Food,Surabaya
431,GF-00432,Resto GrabMantap 431,Martabak,Bogor
432,GF-00433,Resto GrabMantap 432,Beverages,Bandung
433,GF-00434,Resto GrabMantap 433,Fast Food,Makassar
434,GF-00435,Resto GrabMantap 434,Beverages,Bandung
435,GF-00436,Resto GrabMantap 435,Snacks,Surabaya
436,GF-00437,Resto GrabMantap 436,Beverages,Surabaya
437,GF-00438,Resto GrabMantap 437,Fast Food,Bali
438,GF-00439,Resto GrabMantap 438,Snacks,Depok
439,GF-00440,Resto GrabMantap 439,Snacks,Medan
440,GF-00441,Resto GrabMantap 440,Fast Food,Surabaya
441,GF-00442,Resto GrabMantap 441,Seafood,Tangerang
442,GF-00443,Resto GrabMantap 442,Martabak,Tangerang
443,GF-00444,Resto GrabMantap 443,Ayam Geprek,Bekasi
444,GF-00445,Resto GrabMantap 444,Snacks,Bekasi
445,GF-00446,Resto GrabMantap 445,Snacks,Bandung
446,GF-00447,Resto GrabMantap 446,Snacks,Depok
447,GF-00448,Resto GrabMantap 447,Snacks,Jakarta
448,GF-00449,Resto GrabMantap 448,Seafood,Bandung
